date,fbcf
1996-03-31,35403.1557
1996-06-30,39326.084
1996-09-30,41417.5711
1996-12-31,43186.714
1997-03-31,42696.635
1997-06-30,46189.4579
1997-09-30,47287.134
1997-12-31,45893.8487
1998-03-31,45594.777
1998-06-30,48379.3067
1998-09-30,47636.0323
1998-12-31,44249.3032
1999-03-31,44120.5842
1999-06-30,47152.458
1999-09-30,46383.161
1999-12-31,47431.8083
2000-03-31,56886.9226
2000-06-30,53911.0787
2000-09-30,53878.575
2000-12-31,54811.0883
2001-03-31,61689.2343
2001-06-30,62066.8863
2001-09-30,60427.3887
2001-12-31,58153.4709
2002-03-31,62805.9273
2002-06-30,65569.3859
2002-09-30,67911.9407
2002-12-31,70596.4837
2003-03-31,70261.663
2003-06-30,68695.7694
2003-09-30,71784.8708
2003-12-31,74519.2224
2004-03-31,76797.4367
2004-06-30,83337.2998
2004-09-30,90684.3943
2004-12-31,88267.9471
2005-03-31,85393.5955
2005-06-30,92729.203
2005-09-30,96633.9659
2005-12-31,95462.1106
2006-03-31,96723.0773
2006-06-30,100732.5575
2006-09-30,108368.1095
2006-12-31,108849.8052
2007-03-31,109266.9427
2007-06-30,119166.9605
2007-09-30,129920.6828
2007-12-31,131177.4401
2008-03-31,132371.4544
2008-06-30,147732.5065
2008-09-30,168885.9821
2008-12-31,153855.6344
2009-03-31,134944.7516
2009-06-30,147361.6955
2009-09-30,172381.6319
2009-12-31,181987.7
2010-03-31,177984.2391
2010-06-30,193392.808
2010-09-30,214814.0058
2010-12-31,211754.9471
2011-03-31,209986.6865
2011-06-30,220961.5316
2011-09-30,237137.0791
2011-12-31,233841.7028
2012-03-31,233274.7899
2012-06-30,244239.6029
2012-09-30,259597.0579
2012-12-31,260348.5492
2013-03-31,256606.6285
2013-06-30,279534.1826
2013-09-30,291365.1961
2013-12-31,287437.9928
2014-03-31,287398.9432
2014-06-30,282409.9697
2014-09-30,289656.0871
2014-12-31,288987.9999
2015-03-31,277295.9924
2015-06-30,266993.7542
2015-09-30,270305.2962
2015-12-31,254801.9572
2016-03-31,240695.7369
2016-06-30,247878.2271
2016-09-30,246617.4357
2016-12-31,238079.6003
2017-03-31,230382.8163
2017-06-30,233098.2053
2017-09-30,245497.3747
2017-12-31,249800.6037
2018-03-31,242958.0088
2018-06-30,250815.0636
2018-09-30,283540.6478
2018-12-31,272349.7288
2019-03-31,259037.8342
2019-06-30,275237.9146
2019-09-30,299568.8509
2019-12-31,280575.9714
