date,pib
1996-03-31,189323.2991
1996-06-30,204610.7285
1996-09-30,221513.2344
1996-12-31,239316.3458
1997-03-31,219117.0494
1997-06-30,232889.5442
1997-09-30,246178.4811
1997-12-31,253904.1214
1998-03-31,235700.7019
1998-06-30,251935.879
1998-09-30,258043.2856
1998-12-31,256671.1527
1999-03-31,250667.9939
1999-06-30,268708.931
1999-09-30,274125.5559
1999-12-31,294207.9753
2000-03-31,276926.9062
2000-06-30,292788.558
2000-09-30,308895.7999
2000-12-31,320480.8068
2001-03-31,312469.8199
2001-06-30,323723.5598
2001-09-30,332524.4457
2001-12-31,347037.6424
2002-03-31,342296.6672
2002-06-30,367362.8246
2002-09-30,379794.5316
2002-12-31,399333.2317
2003-03-31,397241.6388
2003-06-30,418987.3369
2003-09-30,439349.7816
2003-12-31,462371.6391
2004-03-31,444783.4882
2004-06-30,481794.9605
2004-09-30,505252.3184
2004-12-31,525920.4459
2005-03-31,499710.3627
2005-06-30,535557.4179
2005-09-30,552859.1552
2005-12-31,582457.5677
2006-03-31,554270.4654
2006-06-30,581976.8561
2006-09-30,617847.706
2006-12-31,655354.8945
2007-03-31,631423.006
2007-06-30,670654.7043
2007-09-30,691845.9238
2007-12-31,726339.3037
2008-03-31,712055.2451
2008-06-30,769525.1557
2008-09-30,812602.576
2008-12-31,815620.1123
2009-03-31,756127.1081
2009-06-30,803577.516
2009-09-30,852843.2512
2009-12-31,920491.4801
2010-03-31,886397.2937
2010-06-30,944144.9471
2010-09-30,997934.7416
2010-12-31,1057370.0177
2011-03-31,1016531.0829
2011-06-30,1086712.6149
2011-09-30,1112334.183
2011-12-31,1160804.1193
2012-03-31,1129472.3551
2012-06-30,1183124.138
2012-09-30,1230448.9206
2012-12-31,1271714.5863
2013-03-31,1241621.7624
2013-06-30,1322587.4219
2013-09-30,1354133.2243
2013-12-31,1413276.5915
2014-03-31,1385945.4277
2014-06-30,1422288.3217
2014-09-30,1462126.2662
2014-12-31,1508592.9844
2015-03-31,1456836.782
2015-06-30,1480130.8584
2015-09-30,1508219.7086
2015-12-31,1550599.651
2016-03-31,1499483.0766
2016-06-30,1558285.5902
2016-09-30,1577224.2587
2016-12-31,1634335.0745
2017-03-31,1589214.3868
2017-06-30,1633651.3023
2017-09-30,1647680.1174
2017-12-31,1712773.1935
2018-03-31,1657833.6504
2018-06-30,1704702.3075
2018-09-30,1736934.9982
2018-12-31,1789705.1275
2019-03-31,1725680.599
2019-06-30,1795805.8442
2019-09-30,1842699.5486
2019-12-31,1892739.6
